Species,Selection condition,Assay temperature,Growth rates £¨d-1£©
CB,S22,19,1.138360791
CB,S22,19,1.20123122
CB,S22,19,1.169957262
CB,S22,22,1.341710803
CB,S22,22,1.293660828
CB,S22,22,1.289372152
CB,S22,25,1.564041863
CB,S22,25,1.523782497
CB,S22,25,1.53941566
CB,S22,28,1.37808808
CB,S22,28,1.321236807
CB,S22,28,1.34648132
CB,S22,31,1.071339484
CB,S22,31,1.113787193
CB,S22,31,1.072459409
CB,S22,33,0.768273185
CB,S22,33,0.764588949
CB,S22,33,0.717260278
CB,S25,19,1.112628973
CB,S25,19,1.113400971
CB,S25,19,1.043025939
CB,S25,22,1.367955191
CB,S25,22,1.473627182
CB,S25,22,1.502844167
CB,S25,25,1.545813965
CB,S25,25,1.682674478
CB,S25,25,1.550598691
CB,S25,28,1.663502025
CB,S25,28,1.843516413
CB,S25,28,1.66556031
CB,S25,31,1.447008062
CB,S25,31,1.581605956
CB,S25,31,1.563757345
CB,S25,33,1.113337377
CB,S25,33,1.134313566
CB,S25,33,1.130822156
CB,S31,19,0.812869757
CB,S31,19,0.809212404
CB,S31,19,0.815080398
CB,S31,22,0.991488293
CB,S31,22,0.956451926
CB,S31,22,1.09329309
CB,S31,25,1.270817608
CB,S31,25,1.361284049
CB,S31,25,1.246400532
CB,S31,28,1.578177734
CB,S31,28,1.569768081
CB,S31,28,1.539211995
CB,S31,31,1.745157796
CB,S31,31,1.991589438
CB,S31,31,1.799796382
CB,S31,33,1.473525522
CB,S31,33,1.372216101
CB,S31,33,1.51430227
PP,S19,19,2.793521932
PP,S19,19,2.708050201
PP,S19,19,2.975893931
PP,S19,22,3.436296
PP,S19,22,3.295836866
PP,S19,22,3.890371758
PP,S19,25,2.995732274
PP,S19,25,3.218875825
PP,S19,25,3.088197501
PP,S19,28,2.747270914
PP,S19,28,2.772588722
PP,S19,28,2.187928094
PP,S19,31,2.417726684
PP,S19,31,2.380898631
PP,S19,31,2.608720897
PP,S19,33,2
PP,S19,33,2.100936527
PP,S19,33,2.349904087
PP,S25,19,2.942557511
PP,S25,19,3.340957301
PP,S25,19,3.485420933
PP,S25,22,3.848626689
PP,S25,22,4.004732404
PP,S25,22,3.848626689
PP,S25,25,4.088773517
PP,S25,25,4.404499491
PP,S25,25,4.230622181
PP,S25,28,4.696876901
PP,S25,28,4.577249325
PP,S25,28,4.271551018
PP,S25,31,3.900528626
