Species,Selection condition,Assay temperature,Ingestion rates  (pg C pg C-1 h-1)
CB,S22,19,0.185318904
CB,S22,19,0.169877734
CB,S22,19,0.203319539
CB,S22,22,0.205420141
CB,S22,22,0.232863834
CB,S22,22,0.23476039
CB,S22,25,0.271544355
CB,S22,25,0.312981825
CB,S22,25,0.247167317
CB,S22,28,0.302924259
CB,S22,28,0.35203003
CB,S22,28,0.319072814
CB,S22,31,0.280487221
CB,S22,31,0.314588218
CB,S22,31,0.243949604
CB,S22,33,0.216045386
CB,S22,33,0.215075666
CB,S22,33,0.20496192
CB,S25,19,0.14286092
CB,S25,19,0.154670736
CB,S25,19,0.147191314
CB,S25,22,0.178295899
CB,S25,22,0.191694556
CB,S25,22,0.25043173
CB,S25,25,0.281080751
CB,S25,25,0.256798865
CB,S25,25,0.242608845
CB,S25,28,0.372515102
CB,S25,28,0.331570689
CB,S25,28,0.345773161
CB,S25,31,0.360308315
CB,S25,31,0.375502022
CB,S25,31,0.362561573
CB,S25,33,0.277838253
CB,S25,33,0.312312485
CB,S25,33,0.304340781
CB,S31,19,0.12111343
CB,S31,19,0.117535772
CB,S31,19,0.116105477
CB,S31,22,0.131276541
CB,S31,22,0.141333785
CB,S31,22,0.134627602
CB,S31,25,0.19617858
CB,S31,25,0.224531886
CB,S31,25,0.266350158
CB,S31,28,0.407737527
CB,S31,28,0.347613132
CB,S31,28,0.377476988
CB,S31,31,0.410112035
CB,S31,31,0.457670707
CB,S31,31,0.419729048
CB,S31,33,0.391573206
CB,S31,33,0.395145268
CB,S31,33,0.324421584
PP,S19,19,0.247084906
PP,S19,19,0.271793396
PP,S19,19,0.23473066
PP,S19,22,0.278269432
PP,S19,22,0.306096375
PP,S19,22,0.333923318
PP,S19,25,0.376522603
PP,S19,25,0.384366824
PP,S19,25,0.340439187
PP,S19,28,0.552379339
PP,S19,28,0.498923274
PP,S19,28,0.516741962
PP,S19,31,0.498366422
PP,S19,31,0.558170393
PP,S19,31,0.498366422
PP,S19,33,0.444714355
PP,S19,33,0.421308336
PP,S19,33,0.444714355
PP,S25,19,0.259026069
PP,S25,19,0.282573893
PP,S25,19,0.306121718
PP,S25,22,0.321930324
PP,S25,22,0.352650511
PP,S25,22,0.366506506
PP,S25,25,0.376799893
PP,S25,25,0.446101007
PP,S25,25,0.397313491
PP,S25,28,0.563739277
PP,S25,28,0.554181971
PP,S25,28,0.57728469
PP,S25,31,0.571768132
PP,S25,31,0.579923821
PP,S25,31,0.58263269
PP,S25,33,0.500236495
PP,S25,33,0.477498473
PP,S25,33,0.491141286
PP,S31,19,0.290541905
