Species,Selection condition,Assay temperature,Respiration rates  (pg O2 pg C-1 h-1)
CB,S22,19,0.020856855
CB,S22,19,0.023969819
CB,S22,19,0.020856855
CB,S22,22,0.041654303
CB,S22,22,0.037488873
CB,S22,22,0.037488873
CB,S22,25,0.128338184
CB,S22,25,0.134755093
CB,S22,25,0.15400582
CB,S22,28,0.194490216
CB,S22,28,0.192588534
CB,S22,28,0.194490216
CB,S22,31,0.386976698
CB,S22,31,0.403924583
CB,S22,31,0.361782339
CB,S22,33,0.4171273
CB,S22,33,0.425148979
CB,S22,33,0.385040585
CB,S25,19,0.02422016
CB,S25,19,0.026911289
CB,S25,19,0.023699561
CB,S25,22,0.038956378
CB,S25,22,0.034627892
CB,S25,22,0.038956378
CB,S25,25,0.130357517
CB,S25,25,0.140786118
CB,S25,25,0.15121472
CB,S25,28,0.196057442
CB,S25,28,0.185165362
CB,S25,28,0.174273282
CB,S25,31,0.308898394
CB,S25,31,0.325769312
CB,S25,31,0.312333853
CB,S25,33,0.375480764
CB,S25,33,0.387185899
CB,S25,33,0.414866267
CB,S31,19,0.026641215
CB,S31,19,0.026641215
CB,S31,19,0.03552162
CB,S31,22,0.051535792
CB,S31,22,0.05521692
CB,S31,22,0.044173536
CB,S31,25,0.095378911
CB,S31,25,0.102191691
CB,S31,25,0.091972522
CB,S31,28,0.149824212
CB,S31,28,0.143014021
CB,S31,28,0.149824212
CB,S31,31,0.22893083
CB,S31,31,0.244611024
CB,S31,31,0.257155179
CB,S31,33,0.324744283
CB,S31,33,0.296869429
CB,S31,33,0.314990314
PP,S19,19,0.043389141
PP,S19,19,0.038568125
PP,S19,19,0.024105078
PP,S19,25,0.153769276
PP,S19,25,0.172990435
PP,S19,25,0.134548116
PP,S19,28,0.359266043
PP,S19,28,0.416061778
PP,S19,28,0.364549367
PP,S19,31,0.610501785
PP,S19,31,0.564599396
PP,S19,31,0.63689566
PP,S19,33,0.774438828
PP,S19,33,0.645939909
PP,S19,33,0.721932839
PP,S25,19,0.04883383
PP,S25,19,0.041451972
PP,S25,19,0.044858983
PP,S25,25,0.184061284
PP,S25,25,0.216542688
PP,S25,25,0.166918322
